title;artist;filename;lyrics
(Cant Live Without Your) Love And Affection ; Nelson;(Cant Live Without Your) Love And Affection by Nelson.txt;likei apart give live alone anymore put use angel loveembed strength hard us hold baby way till cant affection heart fight find around thing time tomorrow pride wonder without desire save sure end outside look earth realize living answer love mmm pretend tear mind yesterday forever waste never miss bring wait face night seem another nothing keep understands arm try change think
(Its Just) The Way That You Love Me ; Paula Abdul;(Its Just) The Way That You Love Me by Paula Abdul.txt;rather right fortune fame ow ninety-foot throw break buy world top game material ring honey famous diamond guitar paula baby people way heat friend stay rome bahamas maserati thing huh girl french black hollywood money clothes wear weekend house place riviera brazil love crazy fly impress plane hill a-rocking monaco heavy party yacht night hat connection keep watch limousine trip home
1-2-3 ; The Chimes UNCERTAIN;1-2-3 by The Chimes UNCERTAIN.txt;truck tongue suck big brick throw whoa give young jump really trap demand verse yo ghost salty top bean worth drop run okay bottom bitch finna diamond chain baller rack pop cigs rain stank cut neck dick sickembed scope uzi nigga bread bank head bih hatin blue sick -- eight cookie blade ride huh girl scammer murder want motherfuckin robber dope kid flu still rich dodger lil hit ap flip jag movin koala away water bless sniff everything fur ho rank hunnid crack account smoke yuh wood switch wait back count purpp full high lane hoe smoking shank blow spend tryna fuck ukraine bust shit
500 Miles ; Hooters;500 Miles by Hooters.txt;stop soon tide train five tank uh-uh-uh-uh-uh-uh mile penny name miss stand homeyou turn four home back hundred uh-uh-uh-uh-uh three shirt two square land away free blow along country hear day man lord whistle love
99 Worlds ; Peter Wolf;99 Worlds by Peter Wolf.txt;train need jump number live cause world trouble forget lyricsthe dead hold baby mile lookin much tossin way call heart land wrong lover track reason thing time girl want rock hurricane crash awayyou end away drownin close love street emergency nothin leave back lane breathe wall feather worlds
A Dreams A Dream ; Soul II Soul;A Dreams A Dream by Soul II Soul.txt;realise right time something thing open somehow welcome star cross wish mind lose hope show river thought could many dream picture analyse hop darkness arm true dreamembed front
A Face In The Crowd ; Tom Petty;A Face In The Crowd by Tom Petty.txt;street crowd sky crowdyou life ever face town another heart dream loud place walk around think
A Girl Like You ; The Smithereens;A Girl Like You by The Smithereens.txt;right goodbyeembed tone follow big exception reference really tough last heartbreak use little travel record london run anything remainder care lyricsthe hold win someone much people talk way almost call luck hertz shadow strange first hear walk wo find washington message time girl level nerve together want hell pride inside lose without except outside place stare everything else love operate believe waste never mistake anyone back seem mine anywhere man try wild think
A Little Love ; Corey Hart;A Little Love by Corey Hart.txt;fool alright shakin bang-bang beach nervous bit go-go simply lyricsi prison demon little sha wake sister run bottle ethereal rain tiny potion la sky-rocket laughter secrect loveyou serious thunder reach heart free long explain wisdom side still oceans pebble cary dry love sky gibraltar guy bring school magic river boy flower night think
Across The River ; Bruce Hornsby;Across The River by Bruce Hornsby.txt;even west riverembed probably ago move distant give eye stand proud row good hard grass forget driven thirty-five week today talk would way downtown hang idle bank strong prize lyricswell hear walk green wo find around shore time long always across side leg inside sit still slow closed listen tail away look fine happen lead mind never remembers leave river back night seem lane longing dream mine may beat day try wild think
Advice For The Young At Heart ; Tears For Fears;Advice For The Young At Heart by Tears For Fears.txt;happy whole secret big give young eye advice stand live hour surprise last send little world okay anything forget mother brown father work someone people hound would wide hand call shadow bluff heart souvenir old walk sleep girl want due promise feel quite naive could love soon everyday disappear believe chance bay never hey tiptoe boy weep play many soul think
After The Rain ; Nelson;After The Rain by Nelson.txt;whoa pull give break live really afraid hope wash survive mirror pain againembed rain sun light way mean hand heart truth start find thing time girl fantasy want inside lose ever feel likehe appear emptiness away love tear broken never wait face beat lyricslook true change think
All Around The World ; Lisa Stansfield;All Around The World by Lisa Stansfield.txt;think give world hearted quarrel care bad baby lookin much weak himembed wrong lyin find reason around thing time somehow cryin somewhere away look sad open comin waste never back many mm mad
All I Do Is Think Of You ; Troop;All I Do Is Think Of You by Troop.txt;somethings alone angel little world heeeeeey ooooooh ring ooooooooooh ya baby pass oooooooooooh way heart stay heeeeeeeeey ..... start wo bub oooooooooh hoooooooooo thing time long girl bell please .... begin woooooaaaah heeeeeeeey love bup ba sometimes bu mind heeeeey hey daaaaaa oooooh wait school worried sing da oooooooh back night keep mine day ooooooooooooh daaaa think home
All I Wanna Do Is Make Love To You ; Heart;All I Wanna Do Is Make Love To You by Heart.txt;right stranger whoa pull give name eye live tree road surprise woman coat umbrella likewhoa little lonely wake rain dare hold understand knewembed standing saw baby easily way note first fate imagine stay ask memory along offer sight wrong walk ride find thing time long want always side smile rainy hotel please garden could morning seed drive place everything love happen bring leave onto plant magic boy flower night another many lyricsit day man arm try accept
All Im Missing Is You ; Glenn Medeiros;All Im Missing Is You by Glenn Medeiros.txt;right something wish missing need give im babe world consider lyricsoh likein saw traveling real bed baby bragging would way part hang every friend reach heart head a-you along walk find around moment time babeembed girl want search still car without save toy clothes end since could look fill answer love else crazy simple life kind enough never miss wait boy night another gim spend day meet man true
All Lips N Hips ; Electric Boys;All Lips N Hips by Electric Boys.txt;hootchie-koo right tattoo west tongue give name wet cheek use little east game spotlight hide dig store shake hard front ya tattooed blame work week likenow way part story romance fingertip old earn walk find breast time best whoo hell uh ever wonder cradle tonight whisper sweet flip end wink begin sits n ear close lyricsnow hipsembed whoa-whoa kiss boutique dance lip chance enough never miss daddy hip boy target straight keep a-dancin dress day table man try change
